"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","8,956","9.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","1","3.3"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1.0 TO 24.9 ACRES)","29","39.7"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (100 TO 249 ACRES)","6","29.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (25.0 TO 99.9 ACRES)","20","34.4"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (250 TO 499 ACRES)","1","42.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (500 TO 999 ACRES)","6","2.6"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","63","21.8"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","CORTLAND","023","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","154,331","9.4"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","94","24.2"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","3,675,000","11.7"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,879","12.4"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1.0 TO 24.9 ACRES)","17","43.9"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (100 TO 249 ACRES)","4","27.3"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (25.0 TO 99.9 ACRES)","16","41.9"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (250 TO 499 ACRES)","2","22.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (500 TO 999 ACRES)","2","15.5"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","41","25.2"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","571,921","12.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","9,248","9.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","2","3.3"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1.0 TO 24.9 ACRES)","42","39.7"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (100 TO 249 ACRES)","13","29.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (25.0 TO 99.9 ACRES)","56","34.4"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (250 TO 499 ACRES)","8","42.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","121","21.8"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","HERKIMER","043","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","151,941","9.4"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","142","24.2"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","9,014,000","11.7"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","13,679","12.4"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","2","9.2"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1.0 TO 24.9 ACRES)","27","43.9"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (100 TO 249 ACRES)","14","27.3"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (25.0 TO 99.9 ACRES)","51","41.9"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (250 TO 499 ACRES)","6","22.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (500 TO 999 ACRES)","7","15.5"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","107","25.2"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,098,190","12.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","12,329","9.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","1","3.3"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1.0 TO 24.9 ACRES)","27","39.7"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (100 TO 249 ACRES)","21","29.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (25.0 TO 99.9 ACRES)","51","34.4"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (250 TO 499 ACRES)","6","42.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (500 TO 999 ACRES)","4","2.6"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","110","21.8"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","MADISON","053","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","213,307","9.4"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","186","24.2"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","8,888,000","11.7"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","16,136","12.4"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1.0 TO 24.9 ACRES)","69","43.9"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (100 TO 249 ACRES)","26","27.3"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (25.0 TO 99.9 ACRES)","40","41.9"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (250 TO 499 ACRES)","8","22.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (500 TO 999 ACRES)","9","15.5"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","152","25.2"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,333,582","12.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","11,012","9.1"
"CENSUS","2017","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONEIDA","065","","","00000000","","CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","2","3.3"
